i,birth,death,dim,cavity,death_nodes
132,1736,2100,1,Foramen ovale (heart);Anastomosis,
133,1737,2010,1,Brachium restiformis;Ammon's horn;Occipital lobe;Nervous system;Brain;Interneuron;Anatomical terms of location;Basal ganglia,Neopallium
134,1737,2100,1,Adenoids;Tonsil,
135,1737,2100,1,Nervous system;Rubrospinal tract,
136,1737,2100,1,Sole (foot);Sebaceous glands,
137,1737,2100,1,Coronal plane;Volvulus,
138,1737,2100,1,Coronal plane;Pulmonary,
139,1785,2017,1,Ammon's horn;Oculomotor nucleus;Red nucleus;Brain;Anatomical terms of location;Substantia nigra;Basal ganglia,Brain stem
140,1785,2100,1,Red nucleus;Brachium restiformis,
141,1785,1908,1,Brachium restiformis;Primary fissure;Red nucleus;Dendrite,Superior cerebellar peduncle
142,1800,2018,1,Head of rib;Bone marrow;Sacrum;Viscus;Pelvis;Organ (anatomy);Human skeleton;Anatomy;Liver;Immune system,Cancellous
143,1800,2009,1,Head of rib;Urinary bladder;Sacrum;Viscus;Zootomy;Histology;Pelvis;Human skeleton;Anatomy;Liver,Bone
144,1800,2100,1,Dendrite;Neuropil,
145,1800,2100,1,Myelin;Nodes of Ranvier,
146,1800,1865,1,Neuron;Brain;Substantia nigra;Basal ganglia,Nucleus of Luys
147,1800,1899,1,Peripheral nervous system;Neuron;Zootomy;Organ (anatomy);Cardiac;Cerebellum;Cranial nerves;Brain,Motor neuron
148,1800,2100,1,Neuron;Centromedian nucleus,
149,1800,1879,1,Nervous system;Neuron;Peripheral nervous system;Zootomy,Autonomic nervous system
150,1800,2100,1,Ammon's horn;Dendritic spine,
151,1800,2100,1,Penis;Trabecula,
152,1800,2100,1,Heart;Trabecula,
153,1800,2100,1,Ovarian follicle;Puberty,
154,1800,2100,1,Puberty;Sebaceous glands,
155,1800,1898,1,Peripheral nervous system;Sympathetic nervous system;Superior cervical ganglion;Nervous system;Brain;Sympathetic nerve;Myelin,Ganglion
156,1801,2100,1,Pubic symphysis;Pelvic inlet,
157,1801,2016,1,Neuron;Zootomy;Viscus;Histology;Organ (anatomy);Pulmonary;Embryo;Hepatic;Viscera;Cardiac;Lung;Cerebellum;Dissection;Heart;Anatomy;Medulla oblongata;Liver;Accessory nerve,Digestive system
158,1801,1971,1,Peripheral nervous system;Neuron;Cerebellum;Nervous system;Brain;Interneuron;Neural;Corticospinal tract;Medulla oblongata;Myelin;White matter,Internal capsule
159,1801,1899,1,Brachium restiformis;Neuron;Ventral spinocerebellar tract;Proprioception;Cerebellum;Brain;Clarke's column;Medulla oblongata;Basal ganglia,Afferent neuron
160,1801,2100,1,Homology (biology);Scrotum,
161,1801,2100,1,Artery;Internal iliac artery,
162,1801,2009,1,Peripheral nervous system;Line of Gennari;Occipital lobe;Brain;Myelin;White matter,Striate cortex
163,1801,2020,1,Penis;Viscus;Puberty;Organ (anatomy);Homology (biology);Brain;Scrotum;Anatomy,Genitalia
164,1801,2100,1,Inguinal canal;Scrotum,
165,1802,2100,1,Iliolumbar artery;Internal iliac artery,
166,1817,1891,1,Germ layer;Lung;Organ (anatomy);Viscus,Muscle
167,1827,2100,1,Gray's Anatomy;Head of rib,
168,1827,2100,1,Gray's Anatomy;Zootomy,
169,1828,2100,1,Somatic (biology);Ovum,
170,1828,2100,1,Gyrus;Gray's Anatomy,
171,1828,2100,1,Ontogeny;Ovum,
172,1828,2100,1,Ovum;Zona pellucida,
173,1829,2100,1,Abducens nerve;Cranial nerves,
174,1829,2100,1,Abducens nerve;Somatic (biology),
175,1829,2100,1,Subarachnoid space;Capillary,
176,1829,2100,1,Subarachnoid space;Mesenchyme,
177,1829,2100,1,Subarachnoid space;Ontogeny,
178,1829,2013,1,Gray's Anatomy;Zootomy;Histology;Organ (anatomy);Anatomy;Tongue;Mouth,Human anatomy
179,1829,2018,1,Zootomy;Viscus;Histology;Organ (anatomy);Hepatic;Viscera;Cardiac;Lung;Nervous system;Brain;Anatomy;Medulla oblongata;Thyroid;Tongue;Thyroid gland;Goitre,External laryngeal nerve
180,1829,2100,1,Saliva;Dental cavities,
181,1829,2100,1,Jaw;Auditory Ossicles,
182,1830,2100,1,Embryo;Diverticulum,
183,1830,2100,1,Dendrite;Morphology (biology),
184,1830,2100,1,Tongue;Diverticulum,
185,1830,2100,1,Tongue;Lingual tonsil,
186,1830,2018,1,Viscus;Morphology (biology);Human skeleton;Anatomy,Osteology
187,1830,2008,1,Organelle;Organ (anatomy);Viscus;Anatomy,Human body
188,1830,2008,1,Viscera;Organ (anatomy);Organelle;Anatomy,Human body
189,1830,2018,1,Morphology (biology);Viscus;Puberty;Organ (anatomy);Brain;Human skeleton;Anatomy,Ductless gland
190,1830,2100,1,Organelle;Receptor layer of retina,
191,1839,2100,1,Purkinje cells;Bone marrow,
192,1846,2100,1,Medial longitudinal fasciculus;Red nucleus,
193,1846,2017,1,Zootomy;Viscus;Histology;Scapula;Organ (anatomy);Pulmonary;Connective tissue;Lung;Heart;Anatomy;Sharpey's fibres,Pectoral girdle
194,1852,1853,1,Incus;Cochlea;Ossicles;Auditory Ossicles,Middle ear
195,1852,2100,1,Cochlea;Zootomy,
196,1852,2100,1,Kidney;Parathyroid glands,
197,1852,2010,1,Nervous system;Parathyroid glands;Kidney;Viscus,Endocrine system
198,1852,2100,1,Mesenchyme;Parathyroid glands,
199,1852,2017,1,Kidney;Nervous system;Cranial nerves;Parathyroid glands;Cerebellum;Anatomy;Thyroid;Brachium restiformis;Subarachnoid space;Zootomy;Histology;Goitre;Peripheral nervous system;Viscus;Organ (anatomy);Connective tissue;Brain;Medulla oblongata;Thyroid gland,Skeletal system
200,1852,2100,1,Gray's Anatomy;Parathyroid glands,
201,1852,2010,1,Viscus;Kidney;Nervous system;Brain;Thyroid;Parathyroid glands,Endocrine system
202,1853,2100,1,Temporal bone;Ear,
203,1853,2100,1,Embryo;Ear,
204,1853,2020,1,Peripheral nervous system;Temporal bone;Viscus;Zootomy;Histology;Organ (anatomy);Cochlea;Pulmonary;Ear;Hepatic;Viscera;Lung;Nervous system;Cranial nerves;Heart;Anatomy,Geniculate ganglion
205,1853,2100,1,Brain;Spiral ganglion,
206,1853,2100,1,Connective tissue;Ligament of Treitz,
207,1853,2100,1,Mesentery;Ligament of Treitz,
208,1853,2100,1,Anastomosis;Ligament of Treitz,
209,1853,2100,1,Ear;Sebaceous glands,
210,1854,2100,1,Epitympanic recess;Middle ear,
211,1854,2100,1,Gyrus;Fusiform gyrus,
212,1860,2100,1,Proprioception;Hilton's law,
213,1865,2010,1,Ammon's horn;Neuron;Brain;Interneuron;Anatomical terms of location;Nucleus of Luys,Forebrain
214,1865,1900,1,Neuron;Brain;Interneuron;Anatomical terms of location;Subthalamic nucleus;Nucleus of Luys,Hemiballismus
215,1868,2016,1,Ammon's horn;Subarachnoid space;Embryo;Cerebellum;Brain;Anatomical terms of location;Medulla oblongata;Neural crest cell;Accessory nerve,Dorsal column
216,1868,2100,1,Peripheral nervous system;Neural crest cell,
217,1868,2017,1,Peripheral nervous system;Subarachnoid space;Zootomy;Histology;Organ (anatomy);Connective tissue;Embryo;Cerebellum;Cranial nerves;Brain;Anatomy;Medulla oblongata;Neural crest cell;Accessory nerve;Brachium restiformis,Sclerotome
218,1868,2100,1,Septum;Neural crest cell,
219,1868,2100,1,Prefrontal cortex;Superior sagittal sinus,
220,1868,2100,1,Ontogeny;Neural crest cell,
221,1869,1871,1,Dura mater;Subarachnoid space;Cerebellum;Medulla oblongata;Brachium restiformis,Spinal cord
222,1869,2100,1,Dura mater;Neural crest cell,
223,1869,1871,1,Dura mater;Primary fissure;Subarachnoid space;Cerebellum;Cranial nerves;Medulla oblongata;Brachium restiformis,Spinal cord
224,1870,2100,1,Dura mater;Human eye,
225,1870,2020,1,Organ (anatomy);Optic nerve;Brain;Human eye;Medial rectus muscle,Visual perception
226,1870,2100,1,Human eye;Sebaceous glands,
227,1870,2100,1,Human eye;Trabecula,
228,1870,1899,1,Neuron;Cerebellum;Nervous system;Sensorimotor cortex;Brain;Interneuron;Medulla oblongata,Motor neuron
229,1870,2100,1,Red nucleus;Sensorimotor cortex,
230,1870,1897,1,Cerebellum;Sensorimotor cortex;Brain;Basal ganglia,Nucleus (neuroanatomy)
231,1870,2100,1,Sensorimotor cortex;Precentral gyrus,
232,1871,2008,1,Oesophagus;Histology;Organ (anatomy);Anatomy,Human body
233,1871,2100,1,Abducens nerve;Orbit (anatomy),
234,1871,1899,1,Neuron;Cerebellum;Nervous system;Cranial nerves;Brain;Interneuron;Corticospinal tract;Medulla oblongata;Spinal cord,Motor neuron
235,1871,2019,1,Subarachnoid space;Oculomotor nucleus;Abducens nerve;Red nucleus;Cerebellum;Optic nerve;Brain;Medial longitudinal fasciculus;Human eye;Medulla oblongata;Cerebrospinal fluid;Spinal cord;Orbit (anatomy);Substantia nigra;Basal ganglia,Ganglion cell of the retina
236,1871,1896,1,Ventral spinocerebellar tract;Cerebellum;Cranial nerves;Brain;Clarke's column;Spinal cord,Dorsal spinocerebellar tract
237,1871,2100,1,Accommodation reflex;Interneuron,
238,1871,2010,1,Neuron;Dendrite;Spinal cord;Basal ganglia;Cranial nerves;Brain;Motor cortex;Precentral gyrus;Brachium restiformis,Neopallium
239,1871,2100,1,Spinal cord;Plantar reflex,
240,1871,2010,1,Urinary bladder;Peripheral nervous system;Sacrum;Zootomy;Pelvis;Cranial nerves;Liver;Spinal cord;Coccyx,Vertebral column
241,1871,2100,1,Spinal cord;Sympathetic nerve,
242,1871,2010,1,Viscus;Esophagus;Organ (anatomy);Hepatic;Viscera;Anatomy,Stomach
243,1871,2013,1,Viscus;Zootomy;Histology;Organ (anatomy);Esophagus;Nervous system;Brain;Recurrent laryngeal nerve;Anatomy;Thyroid;Thyroid gland;Goitre,Human anatomy
244,1871,2008,1,Viscera;Connective tissue;Esophagus;Viscus,Vertebrate trachea
245,1871,2011,1,Epiglottic cartilage;Viscus;Esophagus;Organ (anatomy);Cardiac;Lung;Medulla oblongata;Tongue,Pharynx
246,1871,2012,1,Viscus;Esophagus;Organ (anatomy);Epiglottis;Cardiac;Lung;Medulla oblongata;Tongue,Taste buds
247,1871,2100,1,Esophagus;Ligament of Treitz,
248,1871,2011,1,Head of rib;Urinary bladder;Peripheral nervous system;Sacrum;Zootomy;Pelvis;Esophagus;Organ (anatomy);Lung;Cranial nerves;Heart;Sympathetic nerve;Liver;Spinal cord,Peristalsis
249,1871,2015,1,Oesophagus;Organ (anatomy);Tongue;Mouth,Gastrointestinal tract
250,1871,2008,1,Precentral gyrus;Ammon's horn;Brain;Neocortex;Motor cortex,Cingulate gyrus
251,1871,1936,1,Ammon's horn;Neocortex;Cerebellum;Nervous system;Cranial nerves;Brain;Interneuron;Corticospinal tract;Medulla oblongata;Spinal cord;Brachium restiformis,Sensory system
252,1871,2100,1,Neocortex;Neuropil,
253,1871,1936,1,Primary fissure;Ammon's horn;Neocortex;Cerebellum;Nervous system;Cranial nerves;Brain;Interneuron;Corticospinal tract;Medulla oblongata;Spinal cord,Sensory system
254,1871,2016,1,Neuron;Zootomy;Histology;Organ (anatomy);Pulmonary;Hepatic;Oesophagus;Brain;Heart;Anatomy;Liver,Digestive system
255,1871,2012,1,Esophagus;Organ (anatomy);Oesophagus;Epiglottis,Larynx
256,1871,2010,1,Head of rib;Urinary bladder;Peripheral nervous system;Sacrum;Zootomy;Pelvis;Oesophagus;Lung;Cranial nerves;Heart;Sympathetic nerve;Liver;Spinal cord,Vertebral column
257,1871,2017,1,Viscus;Esophagus;Organ (anatomy);Cardiac;Oesophagus;Lung;Medulla oblongata;Radula;Tongue,Oral cavity
258,1872,2100,1,Medulla oblongata;Tractus solitarius,
259,1872,2011,1,Subarachnoid space;Embryo;Cerebellum;Brain;Anatomical terms of location;Medulla oblongata;Neural crest cell;Accessory nerve;Neural tube,Solitary nucleus
260,1872,2100,1,Human eye;Sclera,
261,1872,1875,1,Anterior chamber of eyeball;Ciliary muscle;Aqueous humor;Human eye;Cornea,Ciliary body
262,1872,1936,1,Brain;Optic nerve;Human eye;Entorhinal cortex,Sensory system
263,1872,2008,1,Zootomy;Histology;Neck;Anatomy;Spinal cord,Human body
264,1872,2012,1,Esophagus;Neck;Thyroid gland;Recurrent laryngeal nerve,Larynx
265,1872,2016,1,Urinary bladder;Zootomy;Pelvis;Histology;Neck;Anatomy;Liver;Spinal cord;Sacral vertebrae;Neural tube,Notochord
266,1872,2016,1,Sacral ala;Sacral vertebrae;Neural tube;Pelvis,Notochord
267,1872,2016,1,Sacral promontory;Sacral vertebrae;Neural tube;Pelvis,Notochord
268,1872,2100,1,Pia mater;Lymphatic system,
269,1872,2012,1,Zootomy;Histology;Organ (anatomy);Connective tissue;Ear;Brain;Optic nerve;Human eye;Anatomy;Entorhinal cortex;Middle ear,Human skull
270,1872,2100,1,Ankle jerk reflex;Sole (foot),
271,1873,2018,1,Oculomotor nucleus;Accommodation reflex;Abducens nerve;Ciliary muscle;Pupil;Human eye;Medial longitudinal fasciculus;Orbit (anatomy);Red nucleus,Edinger-westphal nucleus
272,1873,2100,1,Cervical vertebrae;Oesophagus,
273,1873,2100,1,Hypoglossal nerve;Cervical plexus,
274,1873,2100,1,Pupil;Sympathetic nerve,
275,1873,2016,1,Tongue;Cervical plexus;Neck;Hypoglossal nerve;Thyroid gland,Omohyoid
276,1873,2100,1,Pia mater;Corpora amylacea,
277,1873,2100,1,Lung;Corpora amylacea,
278,1873,2100,1,Prostate;Corpora amylacea,
279,1874,2100,1,Internal carotid artery;Vascular system,
280,1874,2100,1,Cervical vertebrae;Tectospinal tract,
281,1874,2100,1,Supraclavicular nerves;Posterior triangle of the neck,
282,1875,2100,1,Human eye;Uvea,
283,1875,2100,1,Subiculum;Anterior choroidal artery,
284,1875,2100,1,Uvea;Ophthalmology,
285,1877,2100,1,Spinal cord;Patellar tendon reflex,
286,1877,2100,1,Proprioception;Patellar tendon reflex,
287,1878,1894,1,Sympathetic nervous system;Superior cervical ganglion;Limbic system;Nervous system;Brain;Sympathetic nerve,Hypothalamus
288,1880,2100,1,Dendrite;Neurology,
289,1880,2100,1,Neurology;Agnosia,
290,1880,2100,1,Neurology;Prosopagnosia,
291,1881,2100,1,Neurology;Essential tremor,
292,1881,2100,1,Neurology;Encephalopathy,
293,1881,2100,1,Paresthesia;Anaesthesia,
294,1881,2100,1,Substantia nigra;Extrapyramidal signs,
295,1881,2100,1,Purkinje cells;Essential tremor,
296,1881,2100,1,Brachium restiformis;Essential tremor,
297,1881,2100,1,Essential tremor;Primary fissure,
298,1884,2100,1,Anatomical position;Penis,
299,1884,2100,1,Anatomical position;Orbit (anatomy),
300,1885,2100,1,Anatomical terms of motion;Anatomical position,
301,1885,2100,1,Proprioception;Tabes dorsalis,
302,1886,2100,1,Temporal bone;Sternocleidomastoid muscle,
303,1886,2020,1,Temporal bone;Viscus;Ear;Organ (anatomy);Connective tissue;Cervical plexus;Kidney;Sternocleidomastoid muscle;Neck;Optic nerve;Brain;Human eye;Anatomy;Entorhinal cortex;Accessory nerve;Thyroid gland;Parathyroid glands,Carotid bifurcation
304,1886,2100,1,Symmetry (biology);Neural,
305,1889,2100,1,Anatomical terms of location;Tail of pancreas,
306,1889,2009,1,Viscus;Organ (anatomy);Tail of pancreas;Liver;Immune system,Spleen
307,1889,2009,1,Autonomic nervous system;Esophagus;Organ (anatomy);Pulmonary;Tail of pancreas;Liver;Gall bladder,Vagus nerve
308,1889,2010,1,Viscus;Organ (anatomy);Hepatic;Viscera;Pancreas;Anatomy,Endocrine system
309,1889,2010,1,Esophagus;Organ (anatomy);Pancreas;Ligament of Treitz,Stomach
310,1889,2100,1,Pancreas;Islets of Langerhans,
311,1889,2013,1,Histology;Organ (anatomy);Tail of pancreas;Anatomy;Liver;Mesentery,Human anatomy
312,1889,2013,1,Ampulla of Vater;Organ (anatomy);Tail of pancreas;Hepatic;Viscera;Liver;Immune system,Lesser omentum
313,1890,2011,1,Ampulla of Vater;Organ (anatomy);Tail of pancreas;Pancreas;Superior mesenteric artery,Small intestine
314,1890,2012,1,Superior mesenteric artery;Major duodenal papilla;Ampulla of Vater;Hepatopancreatic ampulla,Duodenum
315,1890,2009,1,Vascular system;Artery;Ampulla of Vater;Viscus;Histology;Tail of pancreas;Cardiac;Lung;Anatomy;Superior mesenteric artery;Immune system,Aorta
316,1890,2016,1,Pulmonary;Hepatic;Oesophagus;Pancreas;Heart;Superior mesenteric artery,Digestive system
317,1890,2016,1,Zootomy;Esophagus;Organ (anatomy);Pulmonary;Tail of pancreas;Hepatic;Fat;Neck;Pancreas;Anatomy;Superior mesenteric artery;Liver;Gall bladder,Digestive system
318,1891,2013,1,Oculomotor nucleus;Abducens nerve;Red nucleus;Cerebellum;Brain;Medial longitudinal fasciculus;Medial rectus muscle;Medulla oblongata;Muscle;Orbit (anatomy);Substantia nigra;Basal ganglia,Doll's eyes phenomenon
319,1891,2100,1,Scapula;Clavicle,
320,1891,2100,1,Achilles tendon;Muscle,
321,1891,2100,1,Muscle;Biceps,
322,1891,1899,1,Cerebellum;Nervous system;Cranial nerves;Brain;Interneuron;Neural;Corticospinal tract;Medulla oblongata;Muscle;Spinal cord,Afferent neuron;Motor neuron
323,1891,2010,1,Morphology (biology);Viscus;Puberty;Organ (anatomy);Human skeleton;Muscle;Anatomy,Skin
324,1891,2013,1,Organ (anatomy);Pancreas;Muscle;Fat,Human anatomy
325,1891,2100,1,Muscle;Ligament of Treitz,
326,1891,2100,1,Clavicle;Fat,
327,1891,2100,1,Embolism;Fat,
328,1892,2100,1,Muscle;Iris sphincter muscle,
329,1892,1899,1,Proprioception;Cerebellum;Cranial nerves;Brain;Clarke's column;Muscle;Muscle spindle;Medulla oblongata;Spinal cord,Afferent neuron
330,1892,1896,1,Proprioceptive;Proprioception;Cerebellum;Cranial nerves;Brain;Clarke's column;Muscle spindle;Spinal cord,Dorsal spinocerebellar tract
331,1892,2100,1,Neurology;Spasm,
332,1892,2100,1,Paralysis;Anaesthesia,
333,1892,2100,1,Inguinal canal;Cremaster muscle,
334,1893,2100,1,Anatomical terms of motion;Calcar femorale,
335,1893,2100,1,Cerebellum;Metathalamus,
